index,monotonicity,trendability,prognosability,mean_engine_spearman,frac_correct_direction,fleet_spearman,composite,n_engines
fisher_rao_self,0.6396904670568629,0.026751380920941953,0.6245928823689101,-0.8316709770130027,0.9876543209876543,-0.3895905518263779,0.43034491011557163,94
kl_div,0.1959612483681845,0.5096379277662481,0.5228402816166831,-0.8441254350508225,0.9876543209876543,-0.5362332732889524,0.40947981925037186,94
fisher_rao,0.3529176591206508,0.04564248447937724,0.4112387353283695,0.24452376055539735,0.4444444444444444,-0.21420162763698378,0.26993295964279923,94
latent_mu_centered,0.35425399058400225,0.0421868650458369,0.2929650916565049,-0.020177579645101393,0.5308641975308642,-0.29262628848463323,0.22980198242878136,94
latent_mu_norm,0.35713360791723703,0.007470870785660095,0.29482046026474723,-0.06232718403431884,0.5432098765432098,-0.28857958162894837,0.21980831298921477,94
wasserstein,0.3357122624084359,0.023668380638331918,0.26197601624011524,-0.07163826601798719,0.5432098765432098,-0.33460500634058987,0.20711888642896104,94
js_div,0.3121551351640861,0.0021913070391267556,0.24551846716436604,-0.024632719699431992,0.5185185185185185,-0.36016732121105505,0.18662163645585964,94
health_score,0.09581375846402576,0.018501603808099794,0.3192879723477152,0.14622710849481055,0.6172839506172839,0.3245020404505548,0.14453444487328027,94
recon_error,0.18406989727039852,3.317948006027999e-05,0.24011238297070578,-0.010982737717438476,0.5555555555555556,-0.14086609657880642,0.1414051532403882,94
mahalanobis_self,0.09360858949310953,0.03316964597432507,0.2708670469630173,-0.7370949219335574,0.9753086419753086,-0.3492508656071513,0.1325484274768173,94
mahalanobis,0.09990178832511624,0.00860071488291703,0.18396020497037524,-0.14638094734188428,0.6172839506172839,-0.32463295751091437,0.09748756939280284,94
