unit_number,cycle,true_rul,op_cluster,mahalanobis,fisher_rao,kl_div,js_div,wasserstein,mahalanobis_self,fisher_rao_self,recon_error,drift_raw,drift_flag,geo_alarm_raw,geo_alarm,latent_mu_norm,latent_mu_centered,health_score
1,52,125,0,5.44448,11.769755,36474.372682,23.605025,18.510741,2.817462,4.597916,0.002589,False,False,False,False,2.698261,2.703008,3.361
1,53,125,0,5.011274,11.714712,36325.375035,23.549921,18.323156,1.810561,4.143972,0.002406,False,False,False,False,2.672433,2.675027,5.784
1,54,125,0,4.916861,11.656346,36378.162576,23.513607,18.147056,1.563808,3.61816,0.002277,False,False,False,False,2.638347,2.640158,6.465
1,55,125,0,4.790681,11.622781,36298.066706,23.492941,18.039414,1.313823,3.240163,0.002173,False,False,False,False,2.622188,2.622619,7.806
1,56,125,0,4.670192,11.57597,36369.794285,23.458245,17.854639,1.345282,2.663149,0.002101,False,False,False,False,2.583993,2.58402,9.441
1,57,125,0,4.256435,11.5362,36411.725791,23.43017,17.717752,0.826211,2.095351,0.002072,False,False,False,False,2.556903,2.556886,14.777
1,58,125,0,4.382524,11.485818,36229.066138,23.362303,17.397301,2.032426,1.777088,0.002096,False,False,False,False,2.504591,2.50041,13.043
1,59,125,0,4.340377,11.444311,36590.062358,23.361639,17.423188,1.565435,1.069985,0.00211,False,False,False,False,2.491057,2.489467,13.567
1,60,125,0,4.275667,11.421563,36560.241008,23.344719,17.313157,1.319576,0.659053,0.002097,False,False,False,False,2.473141,2.469278,14.583
1,61,125,0,4.102923,11.389774,36310.026036,23.299283,17.089367,1.174163,0.293608,0.002087,False,False,False,False,2.443342,2.435886,16.583
1,62,125,0,3.71911,11.318789,36536.094972,23.239389,16.776686,0.749387,0.579973,0.002081,False,False,False,False,2.367769,2.358792,21.479
1,63,125,0,3.8161,11.297541,36468.80423,23.214915,16.647879,0.799906,0.981043,0.002071,False,False,False,False,2.345493,2.333615,19.906
