index,monotonicity,trendability,prognosability,mean_engine_spearman,frac_correct_direction,fleet_spearman,composite,n_engines
fisher_rao_self,0.16226044696854847,0.0031901113688481233,0.4321053515769276,-0.2446532193667671,0.8265895953757225,-0.07745658059730057,0.1991853033047747,221
latent_mu_norm,0.23117490187639012,0.00046802305768460327,0.36564011280737274,-0.038349494974192516,0.5664739884393064,-0.03682865035391389,0.1990943459138158,221
recon_error,0.09500080568317198,0.000253992889541067,0.4246735804530565,0.0085731170006212,0.4682080924855491,0.0169419639734878,0.1733094596752565,221
health_score,0.061191807539658055,0.004252364067854094,0.43263856265819484,0.15955545472942137,0.686046511627907,0.13363799483815836,0.166027578088569,221
latent_mu_centered,0.10522408792258345,0.0008559243063450731,0.37562244079973844,-0.022218395840004675,0.5260115606936416,-0.014703684751680777,0.160567484342889,221
kl_div,0.08835346781622044,0.00010434660628390784,0.3929331249638346,0.020033401961903435,0.48554913294797686,0.0261368388946965,0.16046364646211297,221
fisher_rao,0.09917047537856717,0.004129749188934973,0.37120988056580073,-0.027356374839192572,0.5260115606936416,-0.013098448006390517,0.1581700350444343,221
js_div,0.07624683371548494,0.005390244306844479,0.3614323790038887,-0.10263335471888071,0.6242774566473989,-0.06572470084909744,0.14768981900873937,221
mahalanobis_self,0.058643759201765275,0.00018659487378617048,0.36909140112878874,-0.12140807147714994,0.8497109826589595,-0.054476226508631806,0.1426405850681134,221
mahalanobis,0.06362368219704506,0.010348650967518011,0.3483173219383393,-0.1538844586004728,0.6820809248554913,-0.13368278233808925,0.14076321836763414,221
wasserstein,0.09992877112119232,0.0006538147321672083,0.3118000809087721,-0.022569080574828457,0.5260115606936416,-0.015099769706423256,0.13746088892071054,221
