index,monotonicity,trendability,prognosability,mean_engine_spearman,frac_correct_direction,fleet_spearman,composite,n_engines
fisher_rao_self,0.2865265418077412,0.0009543444920852521,0.44145093050457607,-0.1335237123943701,0.7708333333333334,-0.08816405013001262,0.24297727226813418,233
latent_mu_centered,0.25912773291018326,0.0002617026675693709,0.4211034588360161,0.01344297813067548,0.46875,0.019177873214309183,0.22683096480458956,233
latent_mu_norm,0.22015245801183442,0.0004099195387261462,0.40707902124531464,0.008811274022150565,0.4635416666666667,0.017307552993033937,0.20921379959862507,233
wasserstein,0.21272320020483468,0.00010660216454159487,0.3853029361238021,0.01384634921809043,0.4635416666666667,0.018299956139305462,0.19937757949772614,233
fisher_rao,0.17204867162311266,0.0009393290295114385,0.41210763992234367,0.01922257362147119,0.4479166666666667,0.025242760552091875,0.19503188019165593,233
recon_error,0.0902745017144329,0.0024077167168531748,0.4186028057443466,0.005904302943591747,0.515625,-0.020945976759449658,0.17042834139187757,233
health_score,0.10422355585121855,0.002189817173634375,0.4000278515888577,0.08916603212220288,0.609375,0.12949830337217225,0.16881374153790354,233
kl_div,0.09467459062416594,0.0003786223231244466,0.38775420530763416,-0.059293635730615364,0.609375,-0.0703384097179475,0.16093580608497485,233
mahalanobis_self,0.07649228142874873,2.328448749625896e-05,0.31119496793200724,-0.16273087046690468,0.828125,-0.11524354941649562,0.12923684461608406,233
js_div,0.10083569381597962,0.00018214348022774438,0.27574312505221255,-0.028633897897262037,0.5260416666666666,-0.0389491891366626,0.1255869874494733,233
mahalanobis,0.10595350117821452,0.00021144335860349088,0.25029186037961065,-0.08948740317125244,0.609375,-0.12987913531268375,0.1188189349721429,233
