unit_number,cycle,true_rul,op_cluster,mahalanobis,fisher_rao,kl_div,js_div,wasserstein,mahalanobis_self,fisher_rao_self,recon_error,drift_raw,drift_flag,geo_alarm_raw,geo_alarm,latent_mu_norm,latent_mu_centered,health_score
1,42,125,5,4.915807,19.698354,9828.468611,27.417426,22.364688,8.585161,20.143428,2.935087,False,False,False,False,3.585268,2.861494,25.319
1,43,125,2,5.993897,25.293551,12196.003909,29.309055,83.57434,11.932598,36.808922,3.18088,False,False,False,False,8.973216,8.319198,7.108
1,44,125,2,6.086998,22.038204,10706.043771,28.102366,40.567296,13.02113,29.275927,3.371037,False,False,False,False,5.877213,5.138768,6.651
1,45,125,2,3.937762,18.992426,9873.564683,27.036002,19.508007,11.567676,24.065134,3.345331,False,False,False,False,2.851129,2.344544,50.79
1,46,125,0,3.601523,18.864169,9412.958104,26.893155,18.766314,4.308131,22.256714,3.189217,False,False,False,False,2.70534,2.163977,61.434
1,47,125,1,3.682155,18.78626,9556.824746,26.723244,17.797761,4.841751,19.925291,3.159472,False,False,False,False,2.552215,1.999033,57.17
1,48,125,2,3.323504,18.776116,9487.19104,26.63503,17.522816,10.944343,15.377908,3.324805,False,False,False,False,2.707771,1.882132,76.741
1,49,125,0,4.098283,19.489964,8879.444044,26.833975,20.240699,4.173432,16.738871,3.343579,False,False,False,False,3.152457,2.490752,42.438
1,50,125,0,4.1589,20.72424,8962.14657,27.375376,27.72387,7.729614,23.708789,3.390912,False,False,False,False,4.310243,3.696481,40.434
1,51,125,2,5.195276,24.001692,10520.400798,28.344994,58.820305,10.570284,34.008165,3.234468,False,False,False,False,7.375135,6.683958,15.892
1,52,125,0,4.472207,19.841318,9111.068314,28.272866,22.354916,4.569852,14.806895,3.428199,False,False,False,False,3.32817,2.879116,32.136
1,53,125,4,4.811724,20.594373,9563.039934,29.01327,26.936811,7.329529,19.861873,3.237424,False,False,False,False,3.957028,3.589882,24.946
1,54,125,1,7.678396,26.362442,11488.850729,31.193092,90.713796,23.294074,37.645889,3.168238,False,False,False,False,9.21542,8.752876,2.78
1,55,125,1,6.085914,23.660449,11094.901606,30.411973,52.31398,15.846635,31.463779,3.133794,False,False,False,False,6.698116,6.186708,9.918
1,56,125,1,5.364886,21.411264,10119.000034,28.488648,36.535926,7.887994,32.294362,2.981868,False,False,False,False,4.935826,4.765186,18.508
1,57,125,0,5.37785,21.260429,9799.429289,28.227746,35.667304,8.204452,32.093905,2.799598,False,False,False,False,4.821721,4.644218,17.868
1,58,125,3,4.849524,20.920453,10387.157379,28.317919,32.261572,8.305026,31.531847,2.97703,False,False,False,False,4.578486,4.347001,24.031
1,59,125,4,4.245082,20.652172,10095.108424,27.786752,31.389725,6.21562,30.983713,2.985525,False,False,False,False,4.345303,4.164059,34.79
