index,monotonicity,trendability,prognosability,mean_engine_spearman,frac_correct_direction,fleet_spearman,composite,n_engines
kl_div,0.2887847689062442,0.39095065305514803,0.5385623308121792,0.8785335369542682,0.01282051282051282,0.5395356402688798,0.4060992509245238,88
fisher_rao_self,0.6153222249774309,0.009368142561675284,0.5909297282522431,-0.8398712093981232,0.9871794871794872,-0.5908647929313829,0.4052066985971165,88
js_div,0.3270649687228888,0.03368859226112549,0.5711347502304298,0.6651722266634155,0.038461538461538464,0.2861478334629526,0.31062943707148133,88
fisher_rao,0.3723066298593231,0.022923323804537897,0.38865599129684164,0.2340932547667074,0.44871794871794873,0.0003565207373513839,0.2612953149869009,88
recon_error,0.24144087815205503,0.004636904659009432,0.39405544895632233,-0.09657502132673135,0.6025641025641025,-0.35711176233475633,0.21337774392246225,88
latent_mu_norm,0.2814860589390704,0.0018462147707582295,0.315611537373191,0.09845441830997818,0.5384615384615384,-0.08190660357623601,0.19964793702767322,88
latent_mu_centered,0.2885282201335375,0.005194771232622775,0.2931093312197457,-0.07127049565451532,0.6153846153846154,-0.2026335760803249,0.195610774195302,88
wasserstein,0.2927216475812553,0.005309344163293173,0.27214195089099824,-0.002641524253457467,0.5512820512820513,-0.15861636095272477,0.1900576475451822,88
mahalanobis_self,0.08884879942951879,0.020304476708090026,0.4021799654532978,-0.7591677191970048,0.9615384615384616,-0.5577442458473436,0.17044441386363554,88
health_score,0.06904352354283247,0.01680183193569558,0.2946850870107301,0.2400487973165413,0.6923076923076923,0.4145072602149457,0.12684348082975272,88
mahalanobis,0.0770051399400527,0.025616836572630638,0.2762910878036839,-0.24061956627074038,0.6923076923076923,-0.41468436710941364,0.1263043547721224,88
